X,Y,Z,
121.5087528,25.05329678,大同區西寧北路與南京西路口,
121.5085841,25.06328179,大同區民權西路與台北橋口機車道(三重往台北),
121.5182038,25.05321736,大同區承德路1段95號,
121.5084924,25.05950527,大同區環河北路1段313號,
121.5149995,25.06364614,大同區蘭州街55號,
121.5160266,25.0637243,大同區大龍街與承德路3段8巷口,
121.5065338,25.04902105,大同區忠孝西路2段與昆明街口,
121.5082128,25.05054883,大同區鄭州路與西寧北路口,
121.5165818,25.0488726,大同區承德路1段與市民大道1段口,
121.5180806,25.05741684,大同區承德路2段與民生西路口,
121.5111086,25.06502262,大同區延平北路3段與景化街口,
121.5110604,25.0773278,大同區延平北路4段294巷與延平北路4段口口,
121.5196226,25.06909944,大同區民族西路31巷與承德路3段177巷口,
121.509166,25.07552212,大同區環河北路2段(南往北)汙水處理廠旁,
121.5109197,25.06310644,大同區台北橋往三重機車道,
121.5166932,25.0615992,大同區民權西路102巷4弄,
121.5151861,25.06729982,大同區重慶北路3段113巷34號,
121.5182325,25.0629867,大同區承德路3段與民權西路口,
121.5140811,25.05706229,大同區重慶北路2段與民生西路口,
121.5176988,25.07581029,大同區敦煌路與敦煌路80巷口,
121.5075005,25.0537356,大同區南京西路與環河北路1段口,
121.5175444,25.05312723,大同區承德路1段與南京西路口,
121.5139591,25.07584666,大同區重慶北路3段383巷,
121.5168631,25.06285221,大同區民權西路118巷與民權西路口,
121.5099951,25.05200439,大同區長安西路與鄭州路143巷口,
121.5099757,25.05039343,大同區鄭州路139號,
121.5082658,25.05685294,大同區環河北路1段與民生西路口,
121.5159219,25.06976368,大同區大龍街236號,
121.5092375,25.05686767,大同區民生西路406號,
121.5206736,25.07651319,承德橋南往北機慢車道第7號燈桿前,
121.5087434,25.06342544,大同區台北橋往三重機車道,
121.5141929,25.05400806,大同區重慶北路2段與南京西路口,
121.5164891,25.05880248,大同區歸綏街84號,
121.5139005,25.0720309,大同區重慶北路3段與酒泉街口,
121.519632,25.05787766,大同區南京西路25巷與民生西路口,
121.5111467,25.0639522,大同區延平北路3段與延平北路3段18巷口,
121.5094329,25.05689887,大同區民生西路399號,
121.5152131,25.04908805,大同區鄭州路與太原路口,
121.5121096,25.06458505,大同區民權西路225巷36號,
121.5136905,25.05705053,大同區重慶北路2段與民生西路口,
121.5106008,25.05774914,大同區民樂街66號,
121.5137387,25.07288894,大同區重慶北路3段與哈密街口,
121.5139005,25.0720309,大同區重慶北路3段與酒泉街口,
121.5131658,25.06723577,大同區重慶北路3段120巷與昌吉街95巷口,
121.51526,25.056338,大同區寧夏路44號,
121.509727,25.053388,大同區南京西路261號,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5066727,25.04886712,大同區忠孝橋,
121.5127097,25.0607394,大同區涼州街與甘州街口,
121.5158952,25.0503295,大同區太原路與華陰街口,
121.5119132,25.04973891,大同區延平北路1段與鄭州路口,
121.5173245,25.06014336,大同區錦西街與興城街口,
121.5148833,25.06858233,大同區民族西路182巷與民族西路口,
121.5110262,25.0659334,大同區延平北路3段與昌吉街口,
121.5374911,25.04481496,大同區鄭州路1段與塔城街口,
121.5072544,25.05069987,大同區環河北路1段與鄭州路口,
121.5181988,25.05065677,大同區長安西路43號,
121.5141913,25.0520157,大同區重慶北路1段71-2號,
121.5076116,25.04876812,大同區忠孝西路2段與西寧北路口,
121.520519,25.05762214,大同區民生西路64號,
121.509615,25.07627157,大同區環河北路2段與敦煌路口18標附近,
121.5111764,25.06399207,大同區延平北路3段19-5號,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5082274,25.05061619,大同區鄭州路與西寧北路口,
121.5113678,25.04826221,大同區忠孝西路2段與延平北路1段口,
121.515658,25.06544528,大同區蘭州街127號,
121.514117,25.06176014,大同區蘭州街與寧夏路口,
121.5141504,25.05479516,大同區重慶北路2段22號,
121.5204882,25.05765086,大同區民生西路與萬全街口,
121.5098798,25.0684649,大同區迪化街2段146巷,
121.5200127,25.07527511,大同區承德路3段與敦煌路口,
121.5159405,25.06283929,大同區民權西路144巷,
121.5112412,25.06261947,大同區民權西路與延平北路2段口,
121.5172596,25.05728252,大同區民生西路171巷,
121.5164281,25.04886421,大同區市民大道1段與承德路1段口,
121.5138858,25.06311943,大同區民權西路與重慶北路3段口,
121.5102991,25.05323453,大同區南京西路與塔城街口,
121.5082021,25.0506052,大同區鄭州路與西寧北路口,
121.5159366,25.06162236,大同區民權西路144巷與民權西路102巷4弄4號口,
121.516424,25.04886311,大同區市民大道1段與承德路1段口,
121.5073766,25.05291096,大同區環河北路1段69號,
121.5138588,25.0572773,大同區重慶北路2段107號,
121.5135212,25.06378756,大同區重慶北路3段2號大橋頭捷運站3號出口,
121.5117016,25.05492109,大同區延平北路2段與延平北路2段36巷口,
121.5200386,25.0751821,大同區承德路3段與敦煌路口,
121.5072808,25.05249383,大同區環河北路1段與長安西路口,
121.5145684,25.06166361,大同區民權西路184巷與民權西路160巷26弄口,
121.5081979,25.05058246,大同區西寧北路與鄭州路口,
121.518993,25.05303473,大同區南京西路與赤峰街口,
121.5173897,25.06684906,大同區承德路3段108巷29號,
121.5100663,25.05034602,大同區鄭州路139號,
121.5090779,25.05493031,大同區迪化街1段46巷與西寧北路口,
121.5193979,25.0675928,大同區民族西路32巷與承德路3段143巷口,
121.5136877,25.0629182,大同區重慶北路3段與民權西路口,
121.5139385,25.0626439,大同區民權西路216號,
121.5144144,25.06283314,大同區民權西路194號(加油站人行道),
121.5188167,25.07220287,大同區庫倫街51-2號,
